"Sent","Task","Mean","SD"
"Training 1 (Door)","likert1",6.62240663900415,0.900553080402486
"Training 1 (Door)","likert2",6.05809128630705,1.59057998068799
"Training 1 (Door)","likert3",2.92946058091286,2.43224932750489
"Training 2 (Wool)","likert1",6.20331950207469,1.54250519231749
"Training 2 (Wool)","likert2",4.76763485477178,2.24813584986467
"Training 2 (Wool)","likert3",5.27385892116183,2.32192925459566
