"Threshold","Visual_OK","Sens_A_OK","Sens_B_OK","Sens_AB_OK","Sens_C_Reject","Info_B_OK","Info_A_Reject","TOTAL_VALID"
"50%",150,149,133,149,145,126,115,90
"55%",150,149,131,148,143,118,101,77
"60%",150,149,127,148,140,115,77,54
"65%",150,149,124,140,139,111,53,33
"70%",150,149,116,136,136,102,35,18
"75%",145,148,111,129,129,94,19,2
"80%",137,145,104,121,116,76,5,1
