Condition,n_questions,n_correct,n_wrong,accuracy,accuracy_sd
a,299,279,20,0.9331103678929766,25.024958922157875
b,302,276,26,0.9139072847682119,28.096647039866536
c,298,278,20,0.9328859060402684,25.064037929541882
filler,870,832,38,0.9563218390804598,20.449559006968528
