Item,Condition,Semantic_Score,Info_Score,Mean_Visual_Error
1,b,6.14285714285714,6.47619047619048,6.66666666666667
126,a,5.68181818181818,3.0,6.5
150,b,6.22727272727273,6.13636363636364,6.86363636363636
26,a,6.68965517241379,3.44827586206897,6.86206896551724
102,b,4.0,5.45454545454545,6.5
61,a,3.76190476190476,2.14285714285714,6.61904761904762
64,c,1.63636363636364,2.04545454545455,6.0
48,a,6.69565217391304,3.17391304347826,6.95652173913043
134,c,1.42857142857143,1.33333333333333,4.85714285714286
74,a,5.93333333333333,3.93333333333333,6.8
28,b,5.91666666666667,5.58333333333333,6.375
113,b,6.2,5.8,6.88
19,a,6.875,3.16666666666667,6.66666666666667
11,c,2.04166666666667,2.08333333333333,5.875
13,b,6.44,5.8,6.68
108,b,5.22727272727273,6.31818181818182,6.59090909090909
85,c,1.17241379310345,1.31034482758621,6.03448275862069
144,b,5.27586206896552,5.89655172413793,6.41379310344828
9,a,5.63636363636364,3.86363636363636,6.63636363636364
124,b,6.18181818181818,6.09090909090909,6.95454545454545
95,b,6.27272727272727,6.27272727272727,6.90909090909091
73,c,1.04,1.2,3.48
97,a,6.42857142857143,4.23809523809524,6.80952380952381
4,c,1.72727272727273,1.77272727272727,3.5
148,b,5.73913043478261,5.78260869565217,6.17391304347826
129,a,6.20833333333333,3.83333333333333,6.66666666666667
69,a,6.66666666666667,3.03333333333333,6.83333333333333
57,b,6.31818181818182,6.13636363636364,6.86363636363636
27,c,1.54545454545455,2.0,5.59090909090909
32,a,5.45454545454545,3.04545454545455,6.5
86,a,6.59090909090909,4.04545454545455,6.77272727272727
104,c,1.27272727272727,1.27272727272727,4.40909090909091
35,a,6.875,4.125,6.875
81,a,6.14285714285714,3.14285714285714,6.80952380952381
45,a,6.73913043478261,4.8695652173913,6.78260869565217
106,c,1.39130434782609,1.43478260869565,6.08695652173913
119,b,6.0,5.69565217391304,6.52173913043478
107,b,6.22727272727273,6.0,6.63636363636364
40,a,6.79310344827586,3.51724137931034,6.86206896551724
140,b,6.68,6.68,6.96
82,c,1.79310344827586,1.68965517241379,4.3448275862069
135,b,5.78260869565217,6.30434782608696,6.34782608695652
75,a,5.28571428571429,3.0952380952381,6.38095238095238
42,b,5.0,5.58620689655172,6.62068965517241
133,c,2.54166666666667,2.75,5.66666666666667
145,c,1.38095238095238,1.0952380952381,5.33333333333333
6,a,6.52,2.56,6.84
143,a,6.86206896551724,3.3448275862069,6.96551724137931
110,b,6.18181818181818,6.13636363636364,6.90909090909091
117,c,1.29166666666667,1.125,4.125
