"Sent","Task","Mean","SD"
"Training 1 (Door)","likert1",6.64782608695652,0.837113759058295
"Training 1 (Door)","likert2",6.04782608695652,1.58386227545625
"Training 1 (Door)","likert3",2.92173913043478,2.42313386923706
"Training 2 (Wool)","likert1",6.25217391304348,1.48261234254557
"Training 2 (Wool)","likert2",4.84347826086957,2.20198919339362
"Training 2 (Wool)","likert3",5.34347826086957,2.28328386951404
