"id","Status_Final","Rank_Valid","Prop_Sens_AB_OK","Prop_Sens_C_Reject","Prop_Info_B_OK","Prop_Info_A_Reject","Mean_Sens_A","Mean_Sens_B","Mean_Sens_AB","Mean_Sens_C","Mean_Info_A","Mean_Info_B","Mean_Info_C","Information_Contrast_B_A","Semantic_Contrast_AB_C","Total_Prop_Visual_Error","Prop_Visual_Error_A","Prop_Visual_Error_B","Prop_Visual_Error_C"
11,"Selected_Tier_1",36,0.862745098039216,0.714285714285714,0.777777777777778,0.75,6.95833333333333,5.40740740740741,6.13725490196078,2.04761904761905,2.45833333333333,5.55555555555556,2,3.09722222222222,4.08963585434174,0.0555555555555556,0.0416666666666667,0,0.142857142857143
150,"Selected_Tier_1",37,0.857142857142857,0.931034482758621,0.857142857142857,0.666666666666667,6.38095238095238,6.23809523809524,6.30952380952381,1.48275862068966,3.04761904761905,6.14285714285714,1.44827586206897,3.0952380952381,4.82676518883415,0.0704225352112676,0,0,0.172413793103448
148,"Selected_Tier_1",38,0.882352941176471,0.863636363636364,0.818181818181818,0.655172413793103,6.72413793103448,5.90909090909091,6.37254901960784,1.54545454545455,2.72413793103448,5.81818181818182,1.77272727272727,3.09404388714734,4.8270944741533,0.205479452054795,0.0344827586206897,0.136363636363636,0.5
39,"Selected_Tier_1",39,0.878048780487805,0.666666666666667,0.75,0.714285714285714,6.90476190476191,5.9,6.41463414634146,2.9047619047619,2.85714285714286,5.95,2.61904761904762,3.09285714285714,3.50987224157956,0.0161290322580645,0,0,0.0476190476190476
25,"Selected_Tier_1",40,0.882352941176471,0.857142857142857,0.814814814814815,0.708333333333333,6.95833333333333,5.7037037037037,6.29411764705882,1.85714285714286,2.625,5.7037037037037,1.47619047619048,3.0787037037037,4.43697478991597,0.0694444444444444,0.0416666666666667,0,0.19047619047619
108,"Selected_Tier_2",41,0.853658536585366,0.666666666666667,0.952380952380952,0.6,6.9,5.42857142857143,6.14634146341463,2.71428571428571,3.5,6.57142857142857,2.71428571428571,3.07142857142857,3.43205574912892,0.0483870967741935,0,0,0.142857142857143
133,"Selected_Tier_2",42,0.96078431372549,0.619047619047619,0.962962962962963,0.541666666666667,6.875,6.14814814814815,6.49019607843137,2.76190476190476,3.375,6.44444444444444,3,3.06944444444444,3.72829131652661,0.0555555555555556,0,0,0.19047619047619
26,"Selected_Tier_2",43,1,0.9,1,0.555555555555556,6.66666666666667,6.47619047619048,6.58333333333333,1.5,3.51851851851852,6.52380952380952,1.3,3.00529100529101,5.08333333333333,0.0588235294117647,0,0,0.2
57,"Selected_Tier_2",44,0.785714285714286,0.724137931034483,0.857142857142857,0.571428571428571,5.61904761904762,6.33333333333333,5.97619047619048,1.96551724137931,3.14285714285714,6.14285714285714,2.44827586206897,3,4.01067323481117,0.028169014084507,0.0476190476190476,0,0.0344827586206897
117,"Selected_Tier_2",45,0.764705882352941,0.952380952380952,0.777777777777778,0.75,6.75,4.66666666666667,5.64705882352941,1.33333333333333,2.66666666666667,5.66666666666667,1.14285714285714,3,4.31372549019608,0.180555555555556,0,0.0740740740740741,0.523809523809524
95,"Selected_Tier_2",46,0.902439024390244,1,0.904761904761905,0.6,6.45,6.28571428571429,6.36585365853659,1.0952380952381,3.3,6.28571428571429,1.19047619047619,2.98571428571429,5.27061556329849,0.032258064516129,0.05,0,0.0476190476190476
119,"Selected_Tier_2",47,0.941176470588235,0.818181818181818,0.727272727272727,0.689655172413793,6.62068965517241,5.95454545454545,6.33333333333333,1.59090909090909,2.6551724137931,5.63636363636364,1.90909090909091,2.98119122257053,4.74242424242424,0.178082191780822,0.0344827586206897,0.0909090909090909,0.454545454545455
73,"Selected_Tier_2",48,0.933333333333333,1,0.869565217391304,0.545454545454545,6.68181818181818,6.56521739130435,6.62222222222222,1.04166666666667,3.45454545454545,6.43478260869565,1.20833333333333,2.9802371541502,5.58055555555555,0.246376811594203,0.0454545454545455,0.0434782608695652,0.625
1,"Selected_Tier_2",49,0.902439024390244,0.761904761904762,0.9,0.523809523809524,6.66666666666667,6.1,6.39024390243902,2.14285714285714,3.47619047619048,6.45,2.04761904761905,2.97380952380952,4.24738675958188,0.032258064516129,0,0.05,0.0476190476190476
110,"Selected_Tier_2",50,0.904761904761905,0.689655172413793,0.857142857142857,0.619047619047619,6.61904761904762,6.19047619047619,6.40476190476191,1.82758620689655,3.19047619047619,6.14285714285714,2.17241379310345,2.95238095238095,4.57717569786535,0.0422535211267606,0,0,0.103448275862069
41,"Selected_Tier_2",51,0.975609756097561,0.857142857142857,0.8,0.714285714285714,6.90476190476191,6.7,6.80487804878049,1.57142857142857,2.80952380952381,5.7,1.66666666666667,2.89047619047619,5.23344947735192,0.0161290322580645,0,0,0.0476190476190476
128,"Selected_Tier_2",52,0.916666666666667,0.85,0.80952380952381,0.555555555555556,6.07407407407407,6.85714285714286,6.41666666666667,1.4,3.11111111111111,6,1.35,2.88888888888889,5.01666666666667,0.0441176470588235,0,0,0.15
82,"Selected_Tier_2",53,0.936170212765957,0.740740740740741,0.958333333333333,0.521739130434783,6.73913043478261,6.20833333333333,6.46808510638298,1.85185185185185,3.52173913043478,6.375,1.74074074074074,2.85326086956522,4.61623325453113,0.162162162162162,0,0,0.444444444444444
54,"Selected_Tier_2",54,0.808510638297872,0.851851851851852,0.791666666666667,0.695652173913043,6.30434782608696,5.16666666666667,5.72340425531915,1.37037037037037,2.65217391304348,5.45833333333333,1.37037037037037,2.80615942028985,4.35303388494878,0.0405405405405405,0.0869565217391304,0,0.037037037037037
43,"Selected_Tier_2",55,0.979166666666667,1,0.904761904761905,0.555555555555556,6.55555555555556,6.90476190476191,6.70833333333333,1.05,3.55555555555556,6.33333333333333,1.55,2.77777777777778,5.65833333333333,0.0441176470588235,0,0,0.15
21,"Selected_Tier_2",56,0.904761904761905,0.931034482758621,0.80952380952381,0.666666666666667,6.52380952380952,6.19047619047619,6.35714285714286,1.27586206896552,3,5.76190476190476,1.31034482758621,2.76190476190476,5.08128078817734,0.0985915492957746,0,0,0.241379310344828
101,"Selected_Tier_2",57,0.862745098039216,0.909090909090909,0.909090909090909,0.517241379310345,6.6551724137931,5.95454545454545,6.35294117647059,1.40909090909091,3.51724137931034,6.27272727272727,1.72727272727273,2.75548589341693,4.94385026737968,0.0684931506849315,0,0.0454545454545455,0.181818181818182
