"Threshold","Visual_OK","Sens_AB_OK","Sens_C_Reject","Info_B_OK","Info_A_Reject","TOTAL_VALID"
"50%",150,148,145,127,113,93
"55%",150,146,142,120,100,78
"60%",150,139,140,115,78,55
"65%",150,134,139,112,57,39
"70%",150,125,136,104,36,20
"75%",147,119,127,94,23,5
"80%",137,104,117,77,5,0
